customer_id,session_id,search_id,merchant_uuid,event_date,restaurant_position,eta_in_minutes,distance,rating,search_label,day_of_week,hour,booking_label,clicked_label,cuisine_orders_24_weeks,cuisine_orders_4_weeks,cuisine_visits_4_weeks,search_query,breakfast_meals,merchant_lunch_bookings,merchant_afternoon_bookings,merchant_dinner_bookings,merchant_midnight_snack_bookings,daily_orders_avg_4wk,customer_brand_visits_4wk,customer_brand_orders_4wk,customer_brand_orders_24wk,days_since_last_order,int_order_count_24weeks,int_order_count_4weeks,int_merchant_visits_4weeks,cust_total_orders_6months,cust_orders_uniq_restaurants_6months,cust_orders_dist_avg_6months,cust_orders_dist_std_6months,cust_orders_dist_median_6months,cust_orders_dist_perc_75_6months,cust_orders_dist_perc_90_6months,cust_orders_gbv_avg_6months,cust_orders_gbv_std_6months,cust_orders_price_median_6months,cust_orders_price_perc_75_6months,cust_orders_price_perc_90_6months,jakarta_week_start_date,lifetime_avg_basket_size,weekday_completed_order,weekend_completed_order,lifetime_total_normalized_gmv,total_voucher_transaction_percentage,average_customer_tenure_age_in_day,image_menu_item_percentage,active_item_with_image_count,active_item_count,average_feedback_rating,booking_completion_rate_percentage,event_month,overall_engagement_level,involvement_engagement_level,interaction_engagement_level,intimacy_engagement_level,last_order_days_since_epoch,last_visit_days_since_epoch
675015214,9EBBEC75-30BB-45C6-8409-6EB93EE92928,1a33b6c5-7463-4bdd-b937-7f4476eb4a85,6481399e-88f2-4072-aa11-3695c6fa64fe,2022-11-03,29,16,0.5,4.7,0,5,11,0,0,,,,NEAR_ME,8.0,27.0,20.0,15.0,0.0,4.0,,,,,,,,4.0,3.0,2.005,0.6121274377121156,1.92,1.92,2.83,97550.0,48368.13689472303,121200.0,122000.0,122000.0,2022-10-31,35195.957740009,21,7,67346100.0,0.220642443,353,1,16,16,,0.872301332,2022-10-01,Low,Moderate,Moderate,Non-engaged,,
545898436,7274b9ea-179d-40ac-bea9-194ae823051a,c64b081d-216e-4542-91e5-c6897d3e037b,bc6ac647-9ee3-484c-b45e-accb08acafd9,2022-11-03,5,31,1.0,4.5,0,5,19,0,0,,,,MARTABAK,0.0,0.0,0.0,98.0,0.0,7.0,,,,,,,,4.0,4.0,2.0725,0.5003582050224952,1.85,2.3,2.64,38575.0,14504.798056735111,40000.0,40000.0,54800.0,2022-10-31,37061.080382047,17,15,355324600.0,0.312931576,2347,0.978723404,46,47,4.833333333333332,0.80787761,2022-10-01,High,High,Low,High,,
572341629,F0A76ECB-3766-43D8-A2D0-502D2DD7CFD8,93c95b05-6d35-4381-b4b0-a4fffb639a37,b4a2fa29-07ca-4f5d-9229-2d41c80e174a,2022-11-03,36,16,0.7,0.0,0,5,16,0,0,,,,NEAR_ME,0.0,3.0,4.0,1.0,0.0,2.0,,,,,,,,12.0,10.0,2.025833333,1.336987511557459,1.62,2.28,4.32,57167.0,38616.912625522935,44500.0,55000.0,112000.0,2022-10-31,44222.222222222,1,0,1031000.0,0.041666667,92,0.16,4,25,,0.888888889,2022-10-01,High,High,Moderate,Moderate,,
549146179,16d6169f-3c3a-4df2-a7f4-03b05fb83321,759924b9-a684-4350-a6db-489bfca5f943,6facbbba-d2e5-4995-9245-fa174b9ef90c,2022-11-03,27,25,0.1,4.6,0,5,18,0,0,,,,NEAR_ME,1.0,1.0,4.0,11.0,0.0,2.0,,,,,,,,96.0,39.0,1.822708333,1.0768506510010585,1.31,2.38,2.86,49447.125,26234.247657052772,43000.0,58000.0,82000.0,2022-10-31,33821.047557841,5,0,20814625.0,0.336079077,371,0.3,15,50,,0.780205656,2022-10-01,Moderate,High,High,Low,,19176.0
590343115,eb7ef049-dc2d-4c10-87dc-e2474abfbaca,6bc93165-d5fc-4ff9-b9f6-798dfaddde27,d5d38e0f-9186-4e11-a1dc-4e1423ed72a2,2022-11-03,8,30,4.9,4.7,0,5,9,0,0,,,,BRAND,260.0,391.0,252.0,621.0,0.0,69.0,,,,,,,,8.0,6.0,2.63,1.6135143542679042,2.29,3.68,4.79,70462.5,35614.56112723719,51000.0,103200.0,116000.0,2022-10-31,118026.482567666,348,164,5192560170.0,0.307702807,688,1,96,96,,0.911707975,2022-10-01,Moderate,High,Moderate,Low,,
633716554,A249D823-AE05-4CB4-A4A7-A87159268885,09440b6b-60a9-4734-a847-161f3b1ad4e1,5ccc2dcb-f1b7-4b9d-9e9e-ce8fe69f012e,2022-11-03,10,29,1.3,4.1,0,5,21,0,0,,,,MARTABAK,1.0,4.0,5.0,25.0,0.0,4.0,,,,,,,,48.0,32.0,4.388333333,3.347834062166376,3.75,5.65,9.42,145245.0,83388.06377362946,118800.0,187500.0,244816.0,2022-10-31,65061.725442712,5,4,319832800.0,0.284803619,1014,0.878378378,65,74,,0.736037536,2022-10-01,Moderate,High,High,Low,,
611195509,8dba36cb-3b69-4175-ab65-83f92dbc801f,f1ac7ff2-b38b-462c-a99e-0fa308eeef50,d80e1003-51ff-4e72-a446-fdb24c979d39,2022-11-03,22,20,1.9,4.7,0,5,9,0,0,,,,NEAR_ME,259.0,12.0,0.0,0.0,0.0,15.0,,,,,,,,64.0,43.0,3.36625,1.8776517756166051,2.58,4.61,5.85,55959.375,35416.282771028644,45000.0,70000.0,100000.0,2022-10-31,44177.337350532,47,29,450451700.0,0.11834962,1211,0.479166667,46,96,,0.953864984,2022-10-01,High,High,High,Moderate,,19203.0
656664372,92548D92-1A75-4A03-963D-3F2885E6A420,0209467d-f0db-41c1-be55-07c046e74db5,7986f369-66d3-4c3a-a0ae-be3796ed60f3,2022-11-03,30,22,0.9,4.5,0,5,10,0,0,,,,MARKDOWN,28.0,16.0,25.0,51.0,0.0,5.0,,,,,,,,40.0,19.0,1.20525,0.4805925162408032,1.24,1.55,1.74,65615.0,39745.39837902864,50650.0,90000.0,110000.0,2022-10-31,66755.01039501,27,19,230662100.0,0.172743056,1089,0.920353982,104,113,,0.718503119,2022-10-01,High,High,High,Moderate,,
609653932,9b183293-2347-49db-8f2d-56428c3372a3,84f62ebb-5787-42fa-96f3-3eb58ea9563b,10bec681-544a-4bc1-a0fb-435c83b4dcfa,2022-11-03,1,22,1.6,4.7,0,5,11,2,0,,,,BRAND,71.0,117.0,97.0,181.0,0.0,20.0,,,,,,,,8.0,5.0,3.25875,1.744709861266337,3.1,3.1,7.1,122975.0,40532.37682925307,120000.0,155000.0,161800.0,2022-10-31,85249.775514639,125,37,3632202584.0,0.422110194,1860,1,102,102,4.921315009431424,0.830791418,2022-10-01,Moderate,Moderate,High,Non-engaged,,
549209770,30615336-2cae-4439-8222-977879e6b9d6,6efad1d6-aba0-4790-a761-0fba8fb67eca,6005ff92-63bd-4b4c-9690-2c1f9e4654c9,2022-11-03,2,21,1.3,4.7,0,5,16,0,0,,,,COFFEE_SHOP,7.0,14.0,16.0,13.0,0.0,3.0,,,,,,,,65.0,43.0,3.046615385,1.6521276782938463,2.87,4.55,5.25,98415.0,60612.21785354006,81800.0,120900.0,188000.0,2022-10-31,62671.944922547,6,5,66971400.0,0.256769374,483,1,41,41,,0.921686747,2022-10-01,High,High,Moderate,Moderate,,19266.0
